,direct_call_elapsed,fallback_elapsed,total_api_call,fallback,fallback_Groundedness,fallback_Relevance,fallback_Structure,fallback_Hallucinations,direct_Groundedness,direct_Relevance,direct_Structure,direct_Hallucinations,complexity,subject
0,3.821033477783203,9.935054540634155,6,hyde,5,5,4,5,5.0,5.0,1,4.0,Single-hop,GDPR
1,3.2889225482940674,9.214609622955322,6,hyde,5,5,4,5,1,1,1,1,Single-hop,GDPR
2,3.6681580543518066,10.295750856399536,6,hyde,5,5,4,5,5.0,5.0,4.0,5.0,Single-hop,GDPR
3,3.3039681911468506,9.789383888244629,6,hyde,5,5,4,5,3.0,3.0,4.0,5.0,Single-hop,GDPR
4,3.9663569927215576,10.295264959335327,6,hyde,5,5,5,5,5.0,5.0,5.0,5.0,Single-hop,GDPR
5,3.845604419708252,10.680437326431274,6,hyde,1,1,3,5,5.0,5.0,4.0,5.0,Single-hop,GDPR
6,3.2628402709960938,9.06089735031128,6,hyde,5,5,5,5,5.0,5.0,5.0,5.0,Single-hop,A_robust_governance_for_the_AI_Act
7,5.014856338500977,13.540720462799072,6,hyde,5,5,5,5,5.0,5.0,5.0,5.0,Single-hop,A_robust_governance_for_the_AI_Act
8,5.980385065078735,15.07573390007019,6,hyde,5,5,5,5,5.0,5.0,5.0,5.0,Multi-hop,A_robust_governance_for_the_AI_Act
9,5.463256359100342,14.380531072616577,6,hyde,5,5,4,5,5.0,5.0,4.0,5.0,Single-hop,A_robust_governance_for_the_AI_Act
10,5.04687237739563,14.046948194503784,6,hyde,1,1,1,5,5.0,5.0,5.0,5.0,Single-hop,A_robust_governance_for_the_AI_Act
11,5.868346929550171,15.581691980361938,6,hyde,5,5,4,5,5.0,5.0,4.0,5.0,Single-hop,A_robust_governance_for_the_AI_Act
12,5.313810586929321,13.933212995529175,6,hyde,1,1,1,5,5.0,4.0,5.0,5.0,Multi-hop,A_robust_governance_for_the_AI_Act
13,3.3407280445098877,8.716283321380615,6,hyde,5,5,4,5,5.0,5.0,5.0,5.0,Single-hop,AI Act
14,4.946893692016602,14.642457962036133,6,hyde,5,5,4,5,5.0,5.0,5.0,5.0,Single-hop,AI Act
15,3.55182147026062,9.006316661834717,6,hyde,5,5,5,5,5.0,5.0,5.0,5.0,Single-hop,AI Act
16,5.095558404922485,15.11330270767212,6,hyde,1,1,3,5,1.0,1.0,1.0,5.0,Two-hop,AI Act and GDPR
17,6.308521270751953,18.916152477264404,6,hyde,1,1,1,5,1.0,1.0,1.0,5.0,Scenario-driven,AI Act and GDPR
18,3.405941963195801,8.581880569458008,6,hyde,1,1,1,5,5.0,5.0,5.0,5.0,Single-hop,AI Act
19,5.8504884243011475,14.714411735534668,6,hyde,1,1,1,1,1.0,1.0,1.0,5.0,Two-hop,AI Act and GDPR
20,3.543704032897949,9.956543922424316,6,hyde,1,1,1,5,1.0,1.0,1.0,5.0,Scenario-driven,AI Act and GDPR
21,5.54127836227417,13.791298866271973,6,hyde,5,5,5,5,1,1,1,5,Single-hop,AI Act
22,5.186223745346069,15.506752252578735,6,hyde,5,5,4,5,1,1,1,5,Two-hop,AI Act and GDPR
23,5.177401542663574,19.985148429870605,6,hyde,1,1,1,5,1,1,1,5,Scenario-driven,AI Act and GDPR
24,6.18912935256958,27.454577684402466,6,hyde,1,1,5,5,1,1,1,5,Single-hop,AI Act and GDPR
25,5.1900084018707275,18.073577642440796,6,hyde,1,1,1,5,1,1,1,5,Two-hop,AI Act and GDPR
26,5.117769241333008,16.085005283355713,6,hyde,1,1,1,5,1,1,2,0,Scenario-driven,AI Act and GDPR
27,9.058096170425415,17.99349594116211,6,hyde,5,5,5,5,5,5,5,5,Single-hop,AI Act
28,4.754488229751587,11.377508640289307,6,hyde,1,1,1,5,5,5,4,5,Single-hop,AI Act
29,3.312396287918091,14.59045696258545,6,hyde,1,1,1,5,1,1,3,5,Two-hop,AI Act
30,5.441925525665283,15.488322257995605,6,hyde,1,1,1,5,1,1,1,5,Two-hop,AI Act
31,5.117769241333008,16.085005283355713,6,hyde,1,1,1,5,1,1,2,0,Scenario-driven,AI Act and GDPR
32,9.058096170425415,17.99349594116211,6,hyde,5,5,5,5,5,5,5,5,Single-hop,AI Act
33,3.312396287918091,14.59045696258545,6,hyde,1,1,1,5,1,1,3,5,Two-hop,AI Act
34,5.441925525665283,15.488322257995605,6,hyde,1,1,1,5,1,1,1,5,Two-hop,AI Act
